8.102792906612127366e-01,4.836043322525926946e-01
8.274846715785163509e-01,6.548922374296287652e-01
6.167400768193576077e-01,3.513055191607706851e-01
7.898759528191330315e-01,1.667851242218393870e-01
3.962553750271278208e-01,4.239397729963703676e-01
7.539108132026343112e-01,3.210114666111379966e-01
7.409384752628929149e-01,8.319661509671402166e-01
2.786489997773253235e-01,6.403407619064649392e-01
1.669988541257778902e-01,3.813060202366248541e-01
2.143370027783521314e-01,7.870177641785486289e-01
3.956778623358677138e-01,7.911214760890786790e-01
6.600044847794181990e-01,6.714178844392364454e-01
2.987198067929319745e-01,2.505629520433697577e-01
4.960842384173477781e-01,3.191225211470911649e-01
6.474575692242040548e-01,4.925632643754037643e-01
5.484434485073141907e-01,7.827656233778350625e-01
4.689944369401735091e-01,1.681803341923710227e-01
2.528164228076399955e-01,5.045742128433582385e-01
5.377445127444935302e-01,5.652650580798962432e-01
4.263995856911712012e-01,6.018740207527253361e-01
